id;price;msrp_price;original_price;good_offer;seller_rating;seller_count_rating;car_rate;consumers_review;mileage;n_photos
762203772.html;20808;;;Good Deal;4.8;416;4.9;84 reviews;37,367;30
765918626.html;27981;;;Great Deal;4.7;308;4.7;55 reviews;15,681;49
766339528.html;17880;;;Good Deal;4.9;701;4.5;30 reviews;58,923;28
762244380.html;19681;23430;;;4.7;114;5;13 reviews;2;17
749693617.html;18990;;;Good Deal;4.9;1370;4.8;85 reviews;22,106;39
759260005.html;39525;42775;;;4.8;1125;4.8;21 reviews;;32
766521679.html;22948;;;Good Deal;4.8;1125;4.9;84 reviews;15,806;44
753932342.html;43050;49630;;;5;251;4.8;25 reviews;2;32
760650632.html;21988;;22988;Fair Price;5;251;4.7;89 reviews;62,357;43
767183345.html;29997;;;Good Deal;4.8;68;4.5;95 reviews;69,470;32
764117859.html;27988;;;Good Deal;4.6;262;4.9;459 reviews;1,818;41
753979822.html;24888;;;Good Deal;4.6;262;4.7;138 reviews;33,704;40
766367545.html;25900;;;Great Deal;4.6;289;5;2 reviews;15,057;29
766784072.html;76575;76575;;;4.9;599;5;6 reviews;13;32
756336534.html;20174;23495;;;5;68;4.7;34 reviews;3;10
759616369.html;40963;45915;;;5;23;5;6 reviews;9;15
765794630.html;25695;;;Good Deal;4.8;1086;4.9;57 reviews;24,617;45
757608858.html;41940;;;Great Deal;4.7;359;4.4;35 reviews;50,900;60
744846377.html;38473;;;;4.8;220;4.7;34 reviews;10;20
766806450.html;26800;;;Good Deal;5;25;4.8;27 reviews;19,460;25
758214683.html;19495;;19995;Great Deal;4.8;1086;4.7;23 reviews;39,907;44
762608884.html;24995;;;Good Deal;4.8;1086;5;2 reviews;16,939;43
763206309.html;61912;;;;4.8;1057;5;1 reviews;6;32
756119782.html;43800;;;Great Deal;5;25;4.4;36 reviews;43,280;25
754796927.html;22190;27190;;;4.9;482;4.8;4 reviews;7;20
740227022.html;34935;47935;;;5;303;4.7;72 reviews;5;16
757482636.html;32096;36660;;;3.8;53;4.9;215 reviews;3;20
747374538.html;33079;36945;;;5;68;4.8;82 reviews;3;13
767178019.html;23995;;;Great Deal;4.8;1086;4.7;206 reviews;21,006;35
755669458.html;46522;50280;;;4.7;114;4.3;30 reviews;2;16
750553019.html;38824;40955;;;4;307;4.6;41 reviews;10;20
763361943.html;28740;;;Great Deal;4.7;359;4.8;248 reviews;22,003;53
766617385.html;15097;;;Great Deal;-1;-1;4.8;355 reviews;23,938;26
